Places_ID_2019,City,City_Alt,ACS Bike-to-Work Mode Share,Land Area, Population ,ACS Target,ACS Normalized Score,ACS Ridership Points,SMS Recreation Riding,SMS Points,Community Survey Ridership Score,Total ridership score,Average Fatalities All Mode,All Mode Fatality Rate,All Mode Fatality Points,Average Fatalities Bike,Bike Fatality Rate,Bike Fatality Points,All Mode Injuries,All Mode Injury Rate,All Mode Injury Points,Bike Injuries,Bike Injury Rate,Bike Injury Points,All mode safety points,Bike Safety Points,Community Survey Safety Score,Total Safety Points,City Snapshot Points,Community Survey Acceleration Score,Total Acceleration Points,BNA,BNA Points,Community Survey Network Score,Total Nework Points,Percent Communities of Concern,Number Underserved Communities,Average BNA,BNA Underserved Communities,BNA Gap,BNA Tier,BNA Target,Distance,BNA Points,ACS Bike-to-Work Mode Share Men,ACS Bike-to-Work Mode Share Women,ACS Gap,ACS Tier,ACS_Target,Distance,ACS Points,Total Reach Points,Bonus,Total Ponts
133,"FORT LAUDERDALE, FLORIDA","FORT LAUDERDALE, FL",1.60%,34.8,"177,175",17.20%,8.4,0.4,14.70%,2.5,2.3,1.6,27.6,1.6,2,1.6,13.4,3,241,13.6,0,12,100.7,1,1,2,1.9,1.6,0.9,2,1.1,4,1,2,1.2,27.1,54,4.4,4.2,0.1,3,-15,15.1,2.2,0.02,0,0.02,3,-0.6,0.62,3.1,2.4,0.5,2.1
49717,"STATEN ISLAND, NEW YORK","STATEN ISLAND, NY",0.30%,58.4,"475,948",12.60%,2,0.1,17.80%,3,2.3,1.7,16.6,0.3,4,0.6,16.8,3,166,3.5,2,7.5,210.1,0,3,1.5,1.9,2.2,2,2,2,30,2,2,2,12.6,39,31.7,34.8,-3.1,1,-25,21.9,2.7,0,0,0,1,-0.02,0.02,1.5,2.4,0.5,2.6
846,"SAINT CLOUD, MINNESOTA","SAINT CLOUD, MN",1.30%,40,"67,093",12.60%,7.4,0.4,15.40%,2.6,,1.2,3,0.4,4,0,0,5,,,,,,,2,2.5,,1.8,,,,20.8,2,,1.6,10.9,7,18.6,18.4,0.3,3,-15,15.3,2.2,0.02,0.01,0.01,3,-0.6,0.61,3.1,2.4,0,1.7
393,"VERO BEACH, FLORIDA","VERO BEACH, FL",1.10%,11.4,"16,261",26.30%,3.4,0.2,12.30%,2,,0.9,1.6,1,2,0.4,57.1,1,,,,,,,1,0.5,,0.6,,,,6.4,1,,0.8,15.2,7,5.2,7.2,-2,3,-15,13,2.6,0.01,0.01,0,2,-0.05,0.05,1.8,2.4,0,1.2
774,"OLATHE, KANSAS","OLATHE, KS",0.30%,59.7,"134,368",12.60%,2.7,0.1,21.30%,3.5,1.9,1.9,5,0.4,4,0,0,5,,,,,,,2,2.5,2.5,2.3,,1.8,0.4,34.3,2,2.1,2,5.5,6,31.2,35.1,-4,1,-25,21,2.8,0.01,0,0,1,-0.02,0.02,1.2,2.4,0,1.8
179,"JOHNSON CITY, TENNESSEE","JOHNSON CITY, TN",0.20%,42.9,"65,598",12.60%,1.2,0.1,12.10%,2,2.1,1.3,6,0.9,2,0,0,5,,,,,,,1,2.5,2.3,1.9,,2.3,0.5,27,2,2.5,2.1,10,9,17.9,20.4,-2.6,3,-15,12.4,2.7,0,0,0,1,-0.02,0.02,1.5,2.4,0,1.6
22,"AVONDALE, ARIZONA","AVONDALE, AZ",0.60%,45.6,"81,590",12.60%,3.8,0.2,12.40%,2.1,2.1,1.3,5,0.6,3,0,0,5,,,,,,,1.5,2.5,2.4,2.1,,1.6,0.3,16.4,1,2,1.2,12.7,8,18.4,21.1,-2.7,3,-15,12.3,2.7,0.01,0,0.01,2,-0.05,0.06,1.4,2.4,0,1.5
1663,"REDMOND, OREGON","REDMOND, OR",0.20%,16.8,"28,492",26.30%,0.6,0,13.40%,2.2,,0.9,0.6,0.2,4,0,0,5,,,,,,,2,2.5,,1.8,,,,54.8,3,,2.4,7.1,1,47.2,37.2,10.1,,,,,0,0,0,1,-0.02,0.02,2.4,2.4,0,1.9
222,"MCDONOUGH, GEORGIA","MCDONOUGH, GA",0.20%,12.7,"23,504",26.30%,0.5,0,13.50%,2.2,,0.9,1.2,0.5,3,0.2,133.3,0,,,,,,,1.5,0,,0.6,,,,18,1,,0.8,16.7,2,8.5,13.2,-4.7,,,,,0,0,0,1,-0.02,0.02,2.4,2.4,0,1.2
34582,"BRONX, NEW YORK","BRONX, NY",1.40%,42.1,"1,455,846",12.60%,8.5,0.4,11.00%,1.8,2.6,1.4,42.8,0.3,4,2,8.6,4,564.5,3.9,2,48,207.3,0,3,2,2.3,2.5,2.8,2.4,2.7,29.4,2,2.2,2,25.1,289,31.4,29,2.4,1,-25,27.4,2.1,0.02,0.01,0.01,3,-0.6,0.61,3.1,2.4,0.5,2.7
387,"TUCSON, ARIZONA","TUCSON, AZ",3.20%,226.7,"530,905",5.70%,52,2.6,15.70%,2.6,2.8,2.6,56.8,1.1,2,4,5.9,4,298,5.6,1,24.5,36.3,3,1.5,3.5,2.9,2.6,1.6,3.9,2,36.3,2,3.5,2.3,19.3,90,33.2,30.8,2.5,1,-25,27.5,2.1,0.04,0.02,0.02,3,-0.6,0.62,3.1,2.4,0.5,2.9
926,"MONROE, LOUISIANA","MONROE, LA",0.50%,29.2,"48,938",20.80%,2.3,0.1,11.60%,1.9,,0.8,8.4,1.7,1,1,117.6,1,,,,,,,0.5,0.5,,0.4,,,,25.2,2,,1.6,27,17,26.8,29.4,-2.6,1,-25,22.4,2.7,0.01,0,0.01,2,-0.05,0.06,1.5,2.4,0,1.3
194,"LAS CRUCES, NEW MEXICO","LAS CRUCES, NM",1.50%,76.5,"101,014",11.50%,13,0.6,14.60%,2.4,2.3,1.7,9.6,1,2,0.2,3.3,4,,,,,,,1,2,2.3,1.7,,2.4,0.5,7.9,1,2.6,1.3,14.6,13,6.6,6,0.6,3,-15,15.6,2.1,0.02,0.01,0.02,3,-0.6,0.62,3.1,2.4,0,1.5
297,"PROVINCETOWN, MASSACHUSETTS","PROVINCETOWN, MA",14.40%,1.8,"2,581",51.00%,27.9,1.4,16.00%,2.7,2.7,2.2,0.2,0.8,3,0,0,5,,,,,,,1.5,2.5,2.5,2.1,1.3,1.8,1.4,86.8,5,2.6,4.5,20,1,75.5,83.7,-8.1,,,,,0.25,0,0.25,3,-0.6,0.85,2.4,2.4,0.5,3
343,"SCHERERVILLE, INDIANA","SCHERERVILLE, IN",0.10%,14.7,"28,778",26.30%,0.5,0,17.20%,2.9,,1.2,1.2,0.4,4,0,0,5,,,,,,,2,2.5,,1.8,,,,28.9,2,,1.6,5.6,2,27.8,13.6,14.2,,,,,0,0,0,1,-0.02,0.02,2.4,2.4,0,1.7
352,"SILVER SPRING, MARYLAND","SILVER SPRING, MD",1.40%,7.9,"79,483",37.00%,3.7,0.2,16.00%,2.7,2.6,1.6,0,0,5,0,0,5,,,,,,,2.5,2.5,2.4,2.5,,2.7,0.5,9.2,1,2.6,1.3,13.2,10,8.3,7.7,0.6,3,-15,15.6,2.1,0.02,0.01,0.01,3,-0.6,0.61,3.1,2.4,0,1.7
7,"ANAHEIM, CALIFORNIA","ANAHEIM, CA",0.70%,49.8,"349,007",12.60%,4.7,0.2,13.60%,2.3,2.2,1.4,25,0.7,3,1,9.3,3,,,,,,,1.5,1.5,2.1,1.6,,1.7,0.3,16.7,1,2.1,1.2,16.3,49,15.6,18.1,-2.4,3,-15,12.6,2.7,0.01,0,0.01,2,-0.05,0.06,1.4,2.3,0,1.4
136,"FORT WORTH, TEXAS","FORT WORTH, TX",0.20%,339.8,"835,129",5.70%,3.5,0.2,14.50%,2.4,2.4,1.5,84.8,1,2,1.4,19.2,3,,,,,,,1,1.5,2.5,1.5,,3,0.6,20.9,2,2.6,2.1,17.1,130,18.6,20.8,-2.2,3,-15,12.8,2.6,0,0,0,1,-0.02,0.02,1.5,2.3,0,1.6
1486,"FLINT, MICHIGAN","FLINT, MI",0.20%,33.4,"97,810",17.20%,1.2,0.1,15.20%,2.5,2.1,1.4,12.6,1.3,2,0.2,31.7,2,,,,,,,1,1,2.3,1.3,,2.3,0.5,25.5,2,2.4,2.1,29.9,43,34,38.1,-4.1,1,-25,20.9,2.8,0.01,0,0.01,1,-0.02,0.03,0.9,2.3,0,1.5
369,"STOCKTON, CALIFORNIA","STOCKTON, CA",0.60%,61.7,"304,358",11.50%,5,0.3,12.90%,2.1,,1,26.6,0.9,3,2.6,38.3,2,,,,,,,1.5,1,,1,,,,34,2,,1.6,14.2,33,31.9,34.5,-2.6,1,-25,22.4,2.7,0.01,0,0.01,2,-0.05,0.06,1.4,2.3,0,1.5
476,"LAWRENCE, KANSAS","LAWRENCE, KS",1.10%,33.6,"93,954",17.20%,5.9,0.3,17.20%,2.9,2.6,1.8,1.8,0.2,4,0.2,3.9,4,2,0.2,4,0,0,5,4,4.5,2.7,3.9,4,3.1,3.8,31.6,2,3.1,2.2,9.1,5,29.2,32.7,-3.4,1,-25,21.6,2.7,0.02,0.01,0.01,2,-0.05,0.06,1.1,2.3,0.5,3.3
12,"APPLETON, WISCONSIN","APPLETON, WI",0.90%,24.3,"73,832",20.80%,3.6,0.2,18.90%,3.1,2.7,1.9,1.8,0.2,4,0.2,6.5,4,,,,,,,2,2,2.8,2.2,,2.9,0.6,21.4,2,2.7,2.1,9.9,9,21,26,-5,2,-20,15,2.6,0.01,0,0.01,2,-0.05,0.06,1.4,2.3,0,1.8
314,"RIVERSIDE, CALIFORNIA","RIVERSIDE, CA",0.80%,81.1,"321,570",10.70%,7.2,0.4,12.20%,2,2.6,1.5,28.2,0.9,2,1.4,13.3,3,,,,,,,1,1.5,2.4,1.5,,2.4,0.5,19.3,1,2.6,1.3,16.3,40,18.1,20.5,-2.4,3,-15,12.6,2.7,0.01,0,0.01,2,-0.05,0.06,1.3,2.3,0,1.4
721,"MONTGOMERY, ALABAMA","MONTGOMERY, AL",0.10%,159.6,"200,761",6.40%,1.2,0.1,13.00%,2.2,1.8,1.2,20.8,1,2,0.2,26,2,,,,,,,1,1,1.8,1.2,,1.5,0.3,28,2,1.4,1.9,25.6,50,27.1,29,-2,1,-25,23,2.6,0,0,0,1,-0.02,0.02,1.5,2.3,0,1.4
174,"IRVINE, CALIFORNIA","IRVINE, CA",1.70%,66.1,"256,877",11.50%,13.9,0.7,18.30%,3,2.5,2,11.4,0.4,4,0,0,5,,,,,,,2,2.5,3,2.4,,2.3,0.5,20.7,2,2.9,2.2,11.3,17,17,16.2,0.8,3,-15,15.8,2.1,0.02,0.01,0.02,3,-0.6,0.62,3.1,2.3,0,1.9
249,"NASHUA, NEW HAMPSHIRE","NASHUA, NH",0.20%,30.9,"87,642",17.20%,1,0,15.40%,2.6,2.2,1.5,4,0.5,4,0.2,23.8,2,,,,,,,2,1,2.6,1.7,,2,0.4,15,1,2.7,1.3,9.7,6,11.7,14,-2.3,3,-15,12.7,2.6,0,0,0,1,-0.02,0.02,1.3,2.3,0,1.4
693,"NEWPORT, RHODE ISLAND","NEWPORT, RI",2.20%,7.7,"24,745",37.00%,5.9,0.3,14.60%,2.4,2.4,1.6,1,0.4,4,0,0,5,,,,,,,2,2.5,2.5,2.3,,2.3,0.5,17.7,1,1.9,1.2,17.9,5,15.9,15.1,0.9,3,-15,15.9,2.1,0.03,0.01,0.02,3,-0.6,0.62,3.1,2.3,0,1.6
203,"LITTLE ROCK, ARKANSAS","LITTLE ROCK, AR",0.20%,119.2,"197,780",7.80%,1.7,0.1,14.10%,2.4,2.3,1.4,20.2,1,2,0,0,5,,,,,,,1,2.5,2.5,1.9,,2.8,0.6,21.8,2,2.9,2.2,30.1,50,24.1,28.4,-4.2,2,-20,15.8,2.5,0,0,0,1,-0.02,0.02,1.7,2.3,0,1.7
252,"NEW HAVEN, CONNECTICUT","NEW HAVEN, CT",4.30%,18.7,"130,884",26.30%,15.8,0.8,13.00%,2.2,2.6,1.7,11.2,0.9,3,0,0,5,,,,,,,1.5,2.5,2.4,2.1,,2.8,0.6,15.5,1,2.8,1.4,34.7,42,17.6,16.6,1,3,-15,16,2,0.05,0.03,0.02,3,-0.6,0.62,3.1,2.3,0,1.6
483,"VANCOUVER, WASHINGTON","VANCOUVER, WA",0.60%,46.5,"171,393",12.60%,3.6,0.2,16.50%,2.7,2.5,1.7,9.4,0.5,3,0,0,5,,,,,,,1.5,2.5,2.7,2.1,,2.4,0.5,36,2,2.7,2.1,11.6,19,29.7,31.2,-1.4,1,-25,23.6,2.5,0.01,0,0.01,2,-0.05,0.06,1.5,2.3,0,1.7
52,"BUFFALO, NEW YORK","BUFFALO, NY",1.40%,40.4,"259,574",12.60%,8,0.4,15.80%,2.6,2.8,1.8,12.8,0.5,3,0.8,6.7,4,,,,,,,1.5,2,2.4,1.9,2.8,3,2.8,5.6,1,2.6,1.3,31.2,102,6,4.8,1.1,3,-15,16.1,2,0.02,0.01,0.01,3,-0.6,0.61,3.1,2.3,0.5,2.5
201,"LEXINGTON, MASSACHUSETTS","LEXINGTON, MA",1.50%,16.4,"33,339",26.30%,5.2,0.3,15.40%,2.6,,1.1,1.2,0.4,4,0,0,5,,,,,,,2,2.5,,1.8,,,,16.7,1,,0.8,8.1,3,13.9,12.8,1.1,3,-15,16.1,2,0.02,0,0.02,3,-0.6,0.62,3.1,2.3,0,1.5
20,"AUSTIN, TEXAS","AUSTIN, TX",1.50%,297.9,"916,906",5.70%,26.9,1.3,15.60%,2.6,3,2.2,80,0.9,3,1.4,2.1,4,435.5,4.7,1,32.5,48,2,2,3,2.3,2.5,3.8,3.3,3.7,12.4,1,3.4,1.5,13.6,85,10.8,9.7,1.2,3,-15,16.2,2,0.02,0.01,0.01,3,-0.6,0.61,3.1,2.3,0.5,2.9
345,"SEATTLE, WASHINGTON","SEATTLE, WA",5.70%,83.9,"688,245",10.70%,50.3,2.5,23.30%,3.9,3.2,3.2,26.2,0.4,4,1.4,1,4,,,,,,,2,2,2.4,2.1,,3.5,0.7,41.6,3,3.3,3.1,14.5,74,40.3,36.8,3.5,1,-25,28.5,2,0.08,0.03,0.04,3,-0.6,0.64,3,2.3,0,2.3
163,"HONOLULU, HAWAII","HONOLULU, HI",2.50%,60.5,"350,788",11.50%,19.6,1,17.60%,2.9,2.4,2,20.8,0.6,3,0.4,1.2,4,,,,,,,1.5,2,2.1,1.8,,2.6,0.5,19.2,1,2.3,1.3,13.9,34,18.6,17.3,1.2,3,-15,16.2,2,0.03,0.02,0.01,3,-0.6,0.61,3.1,2.3,0,1.6
321,"SACRAMENTO, CALIFORNIA","SACRAMENTO, CA",2.30%,97.9,"489,650",10.70%,21.2,1.1,16.20%,2.7,2.8,2.1,50.4,1,2,5.4,12.4,3,,,,,,,1,1.5,2.5,1.5,,3.1,0.6,27,2,3,2.2,24.8,102,27.4,23.5,3.9,1,-25,28.9,2,0.03,0.02,0.01,3,-0.6,0.61,3.1,2.3,0,1.7
228,"MIAMI, FLORIDA","MIAMI, FL",1.20%,35.9,"443,007",17.20%,6.4,0.3,11.50%,1.9,2.6,1.4,48.4,1.1,2,3.2,15.9,3,,,,,,,1,1.5,1.8,1.4,,2.4,0.5,3.5,1,2.4,1.3,30.5,113,4.1,2.8,1.3,3,-15,16.3,2,0.02,0.01,0.01,3,-0.6,0.61,3.1,2.3,0,1.4
103,"DETROIT, MICHIGAN","DETROIT, MI",0.90%,138.8,"679,865",7.80%,10.9,0.5,13.50%,2.3,2.8,1.7,118,1.7,1,3.6,21.1,3,,,,,,,0.5,1.5,2.6,1.3,,3.4,0.7,39.1,2,2.5,2.1,26.3,262,39.4,41.4,-1.9,1,-25,23.1,2.6,0.01,0,0.01,2,-0.05,0.06,1.2,2.3,0,1.6
1448,"CONWAY, ARKANSAS","CONWAY, AR",0.30%,45.3,"64,481",12.60%,2,0.1,12.90%,2.2,2,1.3,4.6,0.7,3,0,0,5,,,,,,,1.5,2.5,2.6,2.1,,2.9,0.6,19.5,1,2.7,1.3,10.8,4,17,19.1,-2.1,3,-15,12.9,2.6,0.01,0,0,1,-0.02,0.02,1.2,2.2,0,1.5
8,"ANCHORAGE, ALASKA","ANCHORAGE, AK",1.30%,1704.7,"298,225",5.70%,23.5,1.2,15.80%,2.6,2.6,2.1,18.6,0.6,3,0.6,3.1,4,,,,,,,1.5,2,2.3,1.9,,2.9,0.6,29.1,2,3,2.2,18.4,35,30.6,26.6,4,1,-25,29,2,0.02,0.01,0.01,3,-0.6,0.61,3.1,2.2,0,1.8
99,"DAVIS, CALIFORNIA","DAVIS, CA",24.00%,9.9,"67,500",26.30%,67.9,3.4,14.80%,2.5,3.2,3,1.2,0.2,4,0,0,5,,,,,,,2,2.5,3.7,2.5,,3.3,0.7,70.8,4,3,3.8,6.4,3,68.7,65,3.7,1,-25,28.7,2,0.27,0.21,0.07,3,-0.6,0.67,2.9,2.2,0,2.4
324,"SAINT LOUIS, MISSOURI","SAINT LOUIS, MO",1.00%,61.9,"314,867",11.50%,8.1,0.4,17.80%,3,2.5,1.9,49.8,1.6,2,1,8.1,4,,,,,,,1,2,2.2,1.6,,3,0.6,31.2,2,2.7,2.1,34.2,137,31.4,33,-1.7,1,-25,23.3,2.6,0.01,0,0.01,2,-0.05,0.06,1.2,2.2,0,1.7
647,"CORPUS CHRISTI, TEXAS","CORPUS CHRISTI, TX",0.30%,160.6,"322,726",6.40%,3.9,0.2,13.10%,2.2,2.1,1.4,25.6,0.8,3,0.4,9.7,3,,,,,,,1.5,1.5,1.9,1.6,,1.8,0.4,17.1,1,1.7,1.1,17,40,18,19.4,-1.4,3,-15,13.6,2.5,0,0,0,1,-0.02,0.02,1.5,2.2,0,1.3
315,"ROANOKE, VIRGINIA","ROANOKE, VA",0.80%,42.6,"99,572",12.60%,4.8,0.2,14.80%,2.5,2.5,1.6,7.6,0.8,3,0.2,6,4,,,,,,,1.5,2,2.8,2,,3.1,0.6,18.6,1,3.4,1.5,17.7,17,18.4,20.1,-1.7,3,-15,13.3,2.5,0.01,0,0.01,2,-0.05,0.06,1.3,2.2,0,1.6
508,"ALBANY, NEW YORK","ALBANY, NY",1.30%,21.4,"98,498",20.80%,5,0.3,13.30%,2.2,,1,5.8,0.6,3,0,0,5,,,,,,,1.5,2.5,,1.6,,,,9.1,1,,0.8,23.9,21,6.6,5.1,1.5,3,-15,16.5,1.9,0.02,0.01,0.01,3,-0.6,0.61,3.1,2.2,0,1.4
440,"CAMBRIDGE, MASSACHUSETTS","CAMBRIDGE, MA",18.00%,6.4,"110,893",37.00%,44.6,2.2,33.40%,5.6,3,3.7,2.4,0.2,4,1,2.3,4,,,,,,,2,2,2.6,2.1,,3.1,0.6,23.4,2,2.8,2.2,8.5,10,20.1,21.1,-1,2,-20,19,2,0.22,0.13,0.09,3,-0.6,0.69,2.8,2.2,0,2.2
573,"FREDERICK, MARYLAND","FREDERICK, MD",0.90%,22,"69,330",20.80%,3.5,0.2,15.60%,2.6,2.1,1.5,0.8,0.1,4,0.2,7,4,,,,,,,2,2,2.6,2.1,,2.8,0.6,12.4,1,2.8,1.4,14.1,9,8.8,10.3,-1.5,3,-15,13.5,2.5,0.01,0,0.01,2,-0.05,0.06,1.4,2.2,0,1.6
574,"GLENDALE, ARIZONA","GLENDALE, AZ",1.00%,60,"241,543",12.60%,7.8,0.4,14.40%,2.4,2.2,1.6,24.2,1,2,0.4,4.2,4,,,,,,,1,2,2.5,1.7,,2,0.4,25.2,2,2.5,2.1,16.7,42,26.5,30.7,-4.1,2,-20,15.9,2.5,0.01,0.01,0.01,2,-0.05,0.06,1.3,2.2,0,1.6
662,"MENOMONEE FALLS, WISCONSIN","MENOMONEE FALLS, WI",0.20%,32.9,"36,411",17.20%,0.8,0,17.20%,2.9,2,1.6,1.8,0.5,3,0,0,5,12.5,3.4,2,1,357.1,0,2.5,2.5,3,2.6,0.9,2,1.1,35.7,2,2.3,2.1,6.1,3,24.6,28,-3.4,2,-20,16.6,2.4,0,0,0,1,-0.02,0.02,1.7,2.2,0.5,2.4
462,"ROCHESTER, MINNESOTA","ROCHESTER, MN",1.30%,54.6,"112,683",12.60%,9.5,0.5,18.50%,3.1,,1.4,3.4,0.3,4,0.4,6.1,4,,,,,,,2,2,,1.6,,,,35.3,2,,1.6,11.1,10,33.5,28.9,4.6,1,-25,29.6,1.9,0.02,0.01,0.01,3,-0.6,0.61,3.1,2.2,0,1.7
366,"SPRINGFIELD, VIRGINIA","SPRINGFIELD, VA",0.20%,7.9,"30,556",37.00%,0.6,0,14.80%,2.5,2.1,1.4,0,0,5,0,0,5,,,,,,,2.5,2.5,2.8,2.6,,2.4,0.5,26.6,2,2.7,2.1,11.1,4,19.2,21.1,-1.9,3,-15,13.1,2.6,0,0,0,1,-0.02,0.02,1.1,2.2,0,1.8
719,"LAFAYETTE, LOUISIANA","LAFAYETTE, LA",1.20%,49.2,"126,476",12.60%,7.9,0.4,14.30%,2.4,,1.1,15.6,1.2,2,1.6,22.8,3,,,,,,,1,1.5,,1,,,,14.2,1,,0.8,13.9,16,12.6,14.4,-1.8,3,-15,13.2,2.6,0.02,0.01,0.01,2,-0.05,0.06,1.1,2.2,0,1.3
5099,"EAST HONOLULU, HAWAII","EAST HONOLULU, HI",0.20%,23,"47,868",20.80%,0.9,0,16.20%,2.7,,1.1,,,,,,,,,,,,,,,,,,,,17.2,1,,0.8,10,4,15.8,16.3,-0.5,3,-15,14.5,2.3,0,0,0,1,-0.02,0.02,1.8,2.2,0,1.4
130,"FOLSOM, CALIFORNIA","FOLSOM, CA",0.80%,21.9,"75,897",20.80%,3,0.2,15.00%,2.5,2.4,1.5,3.8,0.5,3,0.2,8.7,4,,,,,,,1.5,2,3.3,2.1,,3.1,0.6,34.2,2,3.6,2.3,7.7,4,26.6,30.4,-3.9,2,-20,16.1,2.5,0.01,0,0.01,2,-0.05,0.06,1.4,2.2,0,1.8
170,"HURST, TEXAS","HURST, TX",0.30%,9.9,"38,813",26.30%,0.8,0,15.20%,2.5,,1,3.8,1,2,0,0,5,,,,,,,1,2.5,,1.4,,,,10.5,1,,0.8,6.4,5,10.2,10.3,-0.2,3,-15,14.8,2.2,0,0,0,1,-0.02,0.02,2,2.2,0,1.4
166,"HOUSTON, TEXAS","HOUSTON, TX",0.60%,599.6,"2,267,336",5.70%,10,0.5,13.80%,2.3,2.4,1.6,225,1,2,6.2,11,3,,,,,,,1,1.5,1.9,1.4,,2.9,0.6,15.7,1,2.7,1.3,21.3,401,13.5,14.6,-1.1,3,-15,13.9,2.4,0.01,0,0.01,2,-0.05,0.06,1.5,2.2,0,1.4
481,"CARLSBAD, CALIFORNIA","CARLSBAD, CA",0.40%,37.7,"113,147",17.20%,2.3,0.1,15.70%,2.6,,1.1,6,0.5,3,0.8,42.8,2,,,,,,,1.5,1,,1,,,,16.4,1,,0.8,14.6,14,14.4,16.8,-2.4,3,-15,12.6,2.7,0.01,0,0.01,1,-0.02,0.03,0.7,2.2,0,1.3
90,"COLUMBUS, OHIO","COLUMBUS, OH",0.80%,217.2,"852,144",5.70%,13.1,0.7,19.00%,3.2,2.8,2.1,50,0.6,3,2.2,6.9,4,,,,,,,1.5,2,2.5,1.9,,3,0.6,30.3,2,3,2.2,19.5,170,30.5,30.8,-0.3,1,-25,24.7,2.4,0.01,0,0.01,2,-0.05,0.06,1.4,2.2,0,1.8
5082,"ASHEVILLE, NORTH CAROLINA","ASHEVILLE, NC",1.00%,44.9,"89,318",12.60%,6.2,0.3,12.80%,2.1,2.6,1.5,14.4,1.6,2,0,0,5,,,,,,,1,2.5,1.8,1.8,,2.8,0.6,7.7,1,3,1.4,8.8,9,5.9,7.4,-1.6,3,-15,13.4,2.5,0.02,0,0.01,2,-0.05,0.06,1.2,2.2,0,1.5
401,"WARREN, MICHIGAN","WARREN, MI",0.40%,34.4,"135,147",17.20%,2,0.1,17.00%,2.8,2.2,1.6,9.6,0.7,3,0.2,9.6,3,,,,,,,1.5,1.5,2.3,1.7,,1.4,0.3,25.4,2,1.7,1.9,13.5,26,24.1,28.6,-4.5,2,-20,15.5,2.6,0.01,0,0.01,1,-0.02,0.03,1,2.2,0,1.5
426,"NEW YORK, NEW YORK","NEW YORK, NY",4.20%,302.6,"8,560,072",5.70%,72.6,3.6,,,,1.5,244.6,0.3,4,16,3.4,4,,,,,,,2,2,,1.6,,,,46.6,3,,2.4,22.9,1455,47,42,4.9,1,-25,29.9,1.9,0.05,0.03,0.02,3,-0.6,0.62,3.1,2.2,0,1.9
145,"GREEN BAY, WISCONSIN","GREEN BAY, WI",0.60%,45.5,"104,796",12.60%,4.1,0.2,18.30%,3,2.7,1.8,3.8,0.4,4,0,0,5,,,,,,,2,2.5,2.6,2.3,,2.8,0.6,32.7,2,2.7,2.1,10.3,12,33.1,32.3,0.8,1,-25,25.8,2.3,0.01,0.01,0,2,-0.05,0.05,1.7,2.2,0,1.8
13,"ARLINGTON, TEXAS","ARLINGTON, TX",0.20%,95.9,"388,225",10.70%,2,0.1,14.30%,2.4,2.2,1.4,27.2,0.7,3,1,25.4,2,,,,,,,1.5,1,2,1.4,,1.6,0.3,11.2,1,2,1.2,12.7,39,11.6,11.9,-0.3,3,-15,14.7,2.3,0,0,0,1,-0.02,0.02,1.8,2.2,0,1.3
360,"SPOKANE, WASHINGTON","SPOKANE, WA",0.80%,59.2,"212,982",12.60%,6.5,0.3,15.70%,2.6,2.6,1.7,11.2,0.5,3,1,14.6,3,,,,,,,1.5,1.5,2.5,1.7,,3.1,0.6,22.3,2,3,2.2,10.4,21,24.9,28.8,-3.9,2,-20,16.1,2.5,0.01,0,0.01,2,-0.05,0.06,1.2,2.2,0,1.7
398,"VIRGINIA BEACH, VIRGINIA","VIRGINIA BEACH, VA",0.60%,249,"450,057",5.70%,10.3,0.5,15.70%,2.6,,1.3,23.2,0.5,3,1.8,13.1,3,,,,,,,1.5,1.5,,1.2,,,,17.3,1,,0.8,8.8,28,17.9,18.7,-0.8,3,-15,14.2,2.4,0.01,0,0.01,2,-0.05,0.06,1.5,2.2,0,1.4
1,"ALBUQUERQUE, NEW MEXICO","ALBUQUERQUE, NM",1.60%,187.7,"556,718",6.40%,23.4,1.2,16.50%,2.8,3,2.2,66.4,1.2,2,1.8,4.8,4,,,,,,,1,2,2.4,1.7,,3.2,0.6,13.6,1,3.4,1.5,15.4,70,11.8,9.7,2.1,3,-15,17.1,1.8,0.02,0.01,0.01,3,-0.6,0.61,3.1,2.1,0,1.6
649,"FAYETTEVILLE, NORTH CAROLINA","FAYETTEVILLE, NC",0.20%,145.8,"210,324",7.80%,2,0.1,14.40%,2.4,1.9,1.4,23.2,1.1,2,0.2,14.2,3,,,,,,,1,1.5,1.8,1.4,,1.3,0.3,8.2,1,1.8,1.2,16.4,27,6.6,7.1,-0.5,3,-15,14.5,2.3,0,0,0,1,-0.02,0.02,1.6,2.1,0,1.3
323,"SAINT CHARLES, ILLINOIS","SAINT CHARLES, IL",0.60%,14.6,"32,730",26.30%,1.9,0.1,18.50%,3.1,,1.3,0.8,0.2,4,0,0,5,,,,,,,2,2.5,,1.8,,,,49.5,3,,2.4,0,0,44.8,,,,,,,0,0.01,0,2,-0.05,0.05,2.1,2.1,0,1.9
14,"ARLINGTON, VIRGINIA","ARLINGTON, VA",3.00%,26,"229,534",20.80%,13.2,0.7,22.70%,3.8,2.7,2.3,0,0,5,0,0,5,3,0.1,4,0,0,5,4.5,5,3,4.4,2.4,3.4,2.6,48.9,3,2.9,3,10.8,22,45.8,40.4,5.4,1,-25,30.4,1.8,0.04,0.01,0.03,3,-0.6,0.63,3,2.1,0.5,3.4
